fase|area|prioridad|estimacion|titulo|criterios
M0|core|media|S|Política de tratamiento de datos personales|Documento que identifica qué datos sensibles se almacenan y con qué finalidad;Definido el plazo de conservación y quién accede a cada categoría;Revisado contra la Ley 25.326
M1|ninos|alta|L|CRUD de niños|Validación de DNI único por institución;Edición y consulta del legajo;Listado con paginación
M1|ninos|alta|M|Salas con descripción y asignación de niños|CRUD de salas con nombre libre, descripción, turno y capacidad máxima (cada EPI define cuántas salas tiene, cómo las llama y para qué las usa);Asignación manual de cada niño a una sala, sin restricción de edad;Aviso (no bloqueo) al superar el cupo de la sala;En la vista de sala se ve la edad de cada niño y el rango de edades real de la sala;Filtro de niños sin sala asignada;Pase de sala en grupo: seleccionar varios niños y moverlos juntos;Solo el equipo de coordinación y el coordinador pedagógico crean salas y asignan niños
M1|ninos|alta|S|Educadoras por sala|Una sala puede tener una o más educadoras y una educadora puede estar en más de una sala;La asignación se cambia sin perder datos cuando el personal rota;Solo el equipo de coordinación y el coordinador pedagógico asignan educadoras;La vista de sala muestra sus educadoras
M1|ninos|alta|S|Días y turnos de funcionamiento de cada EPI|Todas las EPI funcionan de lunes a viernes;Cada EPI indica si funciona solo por la mañana o mañana y tarde (hoy dos tienen turno tarde);Solo se ofrecen los turnos que la EPI tiene habilitados al crear salas y al tomar asistencia
M1|ninos|alta|L|Asistencia diaria de niños|La registra el encargado de recepción: presente o ausente por niño y por día, sin horarios;Solo se toma de lunes a viernes;Lista de los niños del turno agrupada por sala, con buscador, donde todos arrancan ausentes y se marcan presentes con un toque (las salas de jornada completa aparecen en ambos turnos);Cómoda de usar desde el celular;Corregible durante el mismo día;Queda registrado qué días se tomó asistencia y cuáles no
M1|ninos|alta|S|Egreso y baja de niños|Baja lógica con motivo y fecha;Los niños dados de baja no aparecen en listados activos ni cuentan en la matrícula;Historial consultable
M1|ninos|media|S|Búsqueda y filtros del listado de niños|Búsqueda por nombre y DNI;Filtros por sala, turno y estado;Los filtros se conservan al navegar
M1|core|alta|M|Guía de buenas prácticas dentro del sistema|Contenido de docs/guia-buenas-practicas-epi.md dividido en secciones navegables con índice;Buscador sobre el texto de la guía;Visible completa para todos los roles;Atajo "Mi rol" que lleva a la ficha de perfil de puesto del Anexo 1 del rol del usuario;Legible desde el celular
M1|seguridad|alta|M|Perfil de Dirección|Perfil transversal a todas las EPI, de solo lectura: no carga ni edita datos;Modelado como identidad aparte de los roles por institución (como superadmin y equipos técnicos), con la decisión registrada en un ADR;Prueba automatizada de que no puede crear, editar ni eliminar
M1|alertas|alta|L|Tablero de Dirección con métricas de asistencia|Por EPI: matrícula activa, presentes hoy y porcentaje de asistencia;Porcentaje por día, semana y mes, con gráfico de evolución;Desglose por sala;Comparativo de las EPI lado a lado;Porcentaje del período = total de presentes / (matrícula x días con asistencia registrada), contando solo lunes a viernes;Los días sin asistencia registrada no cuentan como 0% y se muestran aparte como control de uso
M1|ninos|baja|M|Importación inicial de datos existentes|Carga desde planilla con los legajos actuales;Reporte de filas rechazadas con el motivo;Proceso repetible sin duplicar registros
M1|infra|alta|M|Despliegue en producción|Dominio propio con HTTPS;Variables de entorno fuera del repositorio;Procedimiento de despliegue documentado y repetible
M1|infra|alta|M|Backups automáticos y restauración probada|Backup diario automático de base de datos y archivos adjuntos;Copia fuera del servidor de producción;Restauración probada al menos una vez y documentada
M1|core|alta|M|Piloto en una EPI|Una EPI elegida carga sus niños y salas;Recepción toma asistencia todos los días durante un mes;Relevamiento de problemas y pedidos del uso real antes de sumar otra EPI
M2|ninos|alta|M|Referentes y vínculo familiar|Alta de referentes con DNI, contacto y parentesco;Un niño puede tener varios referentes y un referente varios niños;Marcado de quién está autorizado a retirar al niño
M2|ninos|alta|M|Carnet de vacunación|Registro de vacunas aplicadas con fecha;Estado calculado según calendario nacional por edad;Listado de niños con vacunas atrasadas
M2|ninos|alta|M|Alergias y restricciones alimentarias|Registro por niño con tipo, severidad y observación;Visible de forma destacada en el legajo y en la vista de sala;Consultable desde el módulo de economato
M2|ninos|media|M|Vista de legajo con pestañas|Pestañas: datos personales, referentes, salud, asistencia, seguimiento;Carga de los datos reales desde la base;Impresión del legajo completo
M2|ninos|baja|M|Alta de niño en tres pasos|Formulario en tres pasos como en el prototipo;Los datos de cada paso se validan antes de avanzar
M3|pedagogico|alta|L|Libro de registro diario por sala|Registro diario por sala con novedades, actividades y observaciones;Un registro por sala y por día, editable solo en el día en curso;Consulta del historial por rango de fechas
M3|pedagogico|alta|L|Seguimientos individuales|Apertura de seguimiento con motivo y responsable;Bitácora de entradas fechadas dentro del seguimiento;Estados: activo, en pausa, cerrado;Listado de seguimientos activos en el dashboard
M3|pedagogico|alta|M|Desafíos en el desarrollo infantil temprano|Registro por niño con área del desarrollo y descripción;Vinculación con un seguimiento activo;Historial por niño
M3|pedagogico|alta|L|Informe de evolución individual|Generación del informe desde los datos del seguimiento y del registro diario;Edición del texto antes de cerrar el informe;Exportación a PDF y a Word con membrete de la institución
M3|pedagogico|alta|L|Informe semestral institucional|Armado del informe con datos consolidados del semestre;Control de qué informes están pendientes por sala;Exportación al formato que exige el organismo
M3|pedagogico|media|M|Agenda de actividades y planificaciones|Carga de actividades con fecha, sala y responsable;Vista de próximas actividades en el dashboard;Marcado de actividad realizada
M3|pedagogico|media|M|Adjuntos en legajos e informes|Carga de archivos con límite de tamaño y tipos permitidos;Los archivos no son accesibles por URL directa sin permiso;Registro en auditoría de cada descarga
M3|pedagogico|baja|S|Plantillas de informe configurables|El equipo de coordinación puede editar los textos base de cada tipo de informe;Las plantillas son propias de cada institución
M4|economato|alta|M|Catálogo de artículos y categorías|Categorías: alimentos, limpieza, librería y pedagogía;Alta de artículo con unidad de medida y stock mínimo;Búsqueda y filtro por categoría
M4|economato|alta|L|Stock por lote con vencimiento|Cada ingreso genera un lote con fecha de vencimiento;El stock actual se calcula desde los movimientos, no se edita a mano;Vista de stock por artículo con desglose de lotes
M4|economato|alta|L|Libro de movimientos de entrada y salida|Registro de movimiento con fecha, artículo, cantidad, origen y quién recibe o entrega;No se permite una salida mayor al stock disponible;Las salidas consumen primero el lote que vence antes;Los movimientos no se editan, se anulan con contramovimiento
M4|economato|alta|S|Alertas de vencimiento y stock mínimo|Aviso configurable de días previos al vencimiento;Aviso cuando el stock cae bajo el mínimo del artículo;Las alertas aparecen en el dashboard
M4|economato|media|M|Menú semanal|Carga del menú por día y por comida;Circuito de aprobación por el rol de nutrición;Historial de menús de semanas anteriores
M4|economato|media|M|Cruce del menú con alergias activas|Al aprobar un menú el sistema advierte qué niños tienen restricción con esos ingredientes;Listado imprimible de restricciones por sala para la cocina
M4|economato|media|M|Inventario patrimonial|Alta de bien con código, ubicación y estado de conservación;Registro de movimientos de ubicación;Reporte de inventario por ubicación
M4|economato|baja|M|Reportes de consumo|Consumo por artículo y por período;Comparación entre períodos;Exportación a planilla
M4|economato|baja|S|Cierre mensual de economato|Bloqueo de movimientos de períodos cerrados;Reporte de cierre con saldos iniciales y finales;Solo el equipo de coordinación puede reabrir un período
M5|institucional|alta|M|Mapa de riesgos|Checklist por área con estado y observación;Registro de verificaciones periódicas con fecha y responsable;Alerta cuando una verificación está vencida
M5|institucional|alta|L|Módulo de vulneración de derechos|Módulo propio, separado de Institucional, con acceso restringido solo al equipo de coordinación y sin permiso de eliminar registros;Bitácora de intervenciones y derivaciones;Auditoría reforzada: se registra toda consulta al registro;Los datos no aparecen en listados ni reportes generales
M5|institucional|media|M|Articulaciones interinstitucionales|Registro de articulación con institución, tipo, referente y fecha;Seguimiento del estado de la articulación;Próximas articulaciones en el dashboard
M5|institucional|media|S|Recursero comunitario|Directorio de instituciones con tipo, referente y contacto;Búsqueda y filtro por tipo;Compartido entre instituciones o propio, según se defina
M5|alertas|alta|L|Motor de alertas derivadas|Las alertas se calculan desde los datos, no se cargan a mano;Fuentes: vencimientos de stock, stock mínimo, documentación de personal, vacunas, informes pendientes, verificaciones de riesgo;Cada alerta tiene severidad y enlace al registro de origen;Posibilidad de posponer o descartar con motivo
M5|alertas|media|M|Dashboard de la EPI con métricas reales|Métricas calculadas desde la base: matrícula, asistencia del día, alertas activas;Ingresos del día y próximas actividades;Carga por debajo de dos segundos con datos de una institución completa
M5|core|media|M|Exportación de documentos a PDF y Word|Membrete y pie institucional en todos los documentos;Generación consistente entre informes, legajos y reportes;Nombre de archivo predecible
M5|alertas|baja|M|Notificaciones por correo|Resumen diario o semanal de alertas críticas al equipo de coordinación;Configuración de frecuencia por usuario;Baja de la suscripción desde el correo
M6|rrhh|alta|M|CRUD de personal|Alta con datos personales, función y fecha de ingreso;Listado con filtro por función y estado;Baja lógica con motivo
M6|rrhh|alta|L|Documentación obligatoria con vencimientos|Tipos: antecedentes penales, acta de confidencialidad, libreta sanitaria, título;Cada documento con fecha de emisión, vencimiento y archivo adjunto;Semáforo de estado: vigente, por vencer, vencido;Alerta automática antes del vencimiento
M6|rrhh|media|M|Capacitaciones y constancias|Registro de capacitación con fecha, institución y carga horaria;Adjunto de la constancia;Reporte de capacitaciones por persona y por período
M6|rrhh|media|M|Horarios y funciones|Carga del horario semanal por persona y turno;Vista de cobertura por sala y turno;Detección de salas sin personal asignado en un turno
M6|rrhh|media|S|Vista de legajo de personal|Pestañas: datos, documentación, capacitaciones, horario;Impresión del legajo;Acceso restringido al equipo de coordinación
M7|infra|media|M|Monitoreo y registro de errores|Errores de producción registrados con contexto;Aviso ante caída del servicio;Los errores no exponen datos sensibles al usuario final
M7|core|alta|L|Pruebas de los módulos críticos|Cobertura de: aislamiento por institución, permisos por rol, cálculo de stock y motor de alertas;Las pruebas corren en CI ante cada push;La rama main no acepta merge con pruebas en rojo
M7|core|media|M|Revisión de rendimiento e índices|Identificar y corregir consultas N+1;Índices verificados sobre los listados principales;Prueba con volumen de datos de tres años
M7|ux|media|M|Revisión responsive y uso en móvil|Módulos usables en pantalla de teléfono;Toma de asistencia cómoda desde el móvil;Probado en Android e iOS
M7|core|media|M|Manual de usuario y capacitación|Manual por rol con capturas;Guía rápida de una página para educadoras/es;Sesión de capacitación al equipo
M7|core|baja|M|Alta y onboarding de nuevas instituciones|Procedimiento documentado para incorporar una EPI;Datos iniciales cargados por asistente guiado;Tiempo de alta menor a un día
